"Phase","Index","Label","Description","Category","Level","Symptom","Entry"
"3","154.0","history of myasthenia gravis","Myasthenia Gravis is a disease that causes muscle weakness","Disease / Medical Condition","3","history of myasthenia gravis","My family has a history of that disease that makes the eyes and muscles on one side of the face  kinda droop"
"1","553","dizziness","","Symptom","2","giddiness","I can be sitting on the couch, and suddenly experience a bout of giddiness. What's wrong with me?"
"1","355","cold intolerance","Increased sensitivity to cold","Symptom","2","feeling cold easily","""I've been feeling cold easily, even when the temperature is not very low. It is affecting my daily activities and making me uncomfortable."""
"1","322","chest pain","Chest discomfort","Symptom","2","chest hurts","When I tried walking up stairs my chest hurts."
"3","3937.0","arthralgia","Elbow pain worsens when the hand is rotated to have the palm face up","Symptom","2","pain at the joint between the upper and lower parts of the arm","I am having joint pain in my elbow."
"1","1764","pruritus in the ear canal","Ear canal is itchy","Symptom","2","increased desire to rub ears","Sometimes I have this increased desire to rub my ears after having my headphones in."
"3","5258.0","use of fluoroquinolones","Fluoroquinolones are a class of antibiotics approved to treat or prevent certain bacterial infections","Medication","1","use of fluoroquinolones","I've had a history of using fluoroquinolones, and I think it's important to mention."
"1","1834","recent unexplained weight gain","","Symptom","2","rapid weight gain","No matter what I try, I keep having rapid weight gain."
"3","4707.0","family history of breast cancer","Breast cancer is present in the family","Family History","2","mother had breast cancer","My mother had a minor case of breast cancer 20 years ago."
"3","3055.0","recent pelvic injury or trauma","Recently hit or injured your pelvis","Risk factor","2","a recent occurrence of pelvic injury and trauma","I have recently experienced pelvic injury and trauma, which has impacted my mobility and caused me discomfort."
"1","2154","very salty-tasting skin","","Symptom","2","salt-infused skin","I've noticed that my skin has become salt-infused. It feels gritty and has a salty taste, especially after physical activities or sweating. I'm unsure why this is happening and would like to understand the underlying cause."
"3","5175.0","testicular injury or trauma","Testicles recently hit or injured","Risk factor","2","testicular injury or trauma is part of the medical background","I have experienced testicular injury or trauma in the past,which is part of my medical background."
"1","6","abdominal pain","","Symptom","2","tummy ache","The primary symptom of a tummy ache is pain or discomfort in the abdominal areaThe pain can range from mild to severe, and it might be crampy, sharp, dull, or achytummy ache might experience a sensation of fullness, bloating, or abdominal distension"
"1","1619","pencil thin stool","Very thin poop","Symptom","3","pencil thin stool","I've noticed that my bowel movements have been unusually narrow and slim in appearance. It's different from what I'm used to, and it's causing me some concern about my digestive health."
"3","3886.0","old shoulder injury or trauma","Your shoulder has been injured or hit hard at some point","Risk factor","2","shoulder injury or trauma in the medical records","I injured my shoulder recently.  It was with Novant, so it should be easy to access in my records."
"1","337","chorea","Strange non-vibrating involuntary movements","Symptom","2","unpredictable movements","My movements are unpredictable."
"3","5362.0","recent obstructed labor during childbirth","Had a Blocked baby delivery, when the baby does not exit the pelvis during childbirth despite strong uterine contractions","Disease / Medical Condition","1","recent obstructed labor during childbirth","I recently experienced an obstructed labor during childbirth, otherwise known as a blocked baby delivery."
"3","2231.0","straining","Strain means to make an unusually great effort","Risk factor","2","putting in effort","You told me to take things easy but even with the risk factor of a fresh strain in my joints, I have to put in the effort to keep my position on the team."
"3","1688.0","cocoa consumption","Recently eating chocolate, or having symptoms occur or worsen after eating cocoa products","Risk factor","2","cocoa products intake","I currently eat a lot of chocolate."
"3","3413.0","use of ace inhibitors","ACE inhibitor is a heart medication that dilates your blood vessels","Medication","2","use of altace","""I have a history of using Altace."""
"3","2274.0","use of macrolides","Macrolides inhibit the growth of bacteria and are used to treat common bacterial infections","Medication","1","use of macrolides","I am taking macrolide antibiotics, such as azithromycin or clarithromycin.This is a concise and clear way to communicate the issue to your doctor, while explicitly mentioning the term ""macrolides."" It is also gender-neutral, which is important, as you specified that the issue is specific to both genders.You may also want to provide more information about your macrolide use, such as:What dosage are you taking?How long have you been taking them?Are you taking them for a specific medical condition, such as pneumonia or bronchitis?Have you experienced any side effects?This additional information can help your doctor to better understand your medical history and make informed decisions about your care.Macrolide antibiotics are a class of antibiotics that are effective against a wide range of bacterial infections. However, they can also interact with other medications, so it is important to tell your doctor about all of the medications you are taking, including over-the-counter medications and supplements.It is also important to note that macrolide antibiotics can cause side effects, such as nausea, vomiting, and diarrhea. If you experience any side effects, be sure to tell your doctor."
"3","273.0","recent surgery","Operation to the Brain","Procedure / Surgery","2","head surgery","I have had head surgery in the past."
"3","2840.0","joint swelling","Enlarged toes","Symptom","2","larger toes","I have larger toes."
"1","112","borborygmus","Stomach rumbling","Symptom","2","noise from stomach","I'm hearing sounds from my stomach."
"3","119.0","use of sedative drugs","The use of a medication that helps in sleeping or relaxing","Medication","2","use of diazepam","I have used diazepam ."
"3","2031.0","hypotension","Low blood pressure","Disease / Medical Condition","2","low systolic pressure","""I have a history of low systolic pressure, commonly known as low blood pressure."""
"3","245.0","history of wilson's disease","Wilson's disease is a rare genetic disorder that causes copper to be stored in different body tissues","Disease / Medical Condition","1","history of wilson's disease","I have a history of Wilson's disease in my family. I am fearing that I am suffering from same."
"1","746","facial pain","","Symptom","2","chin pain","I've been experiencing persistent pain in my chin. It feels sore and uncomfortable, especially when I try to open my mouth or chew."
"3","4563.0","family history of arrhythmia","Arrhythmia is any problem with the rate or the rhythm of heartbeat","Family History","2","arrhythmia has been seen in multiple family members","I have a family history of arrhythmia. Multiple members of my family have had it."
"3","2347.0","any thyroid disease","Having a disease in the Thyroid gland, a gland in the neck that produces hormones to control the speed of metabolism","Disease / Medical Condition","3","any thyroid disease","I have a history of thyroid issues that I believe is important for you to be aware of. This may be relevant to my current health or treatment plan. If you need more information, please feel free to ask."
"3","710.0","vitamin d deficiency","The level of vitamin D in your body is too low","Disease / Medical Condition","2","hypovitaminosis d","i am suffering from hypovitaminosis d since few days."
"1","1867","weak immune system","","Symptom","3","recurrent otologic infections","I've been dealing with recurring infections in my ear, and they keep coming back even after treatment. It's causing discomfort, pain, and affects my hearing. I'm concerned about the frequency and want to find a solution to prevent them from happening so frequently."
"3","403.0","history of addison's disease","Addison's disease is a disorder that occurs when your body doesn't produce enough of certain hormones","Disease / Medical Condition","3","history of addison's disease","My body doesn't produce it's hormones correctly"
"1","139","ascites","Swollen belly","Symptom","2","abdominal dropsy","After my meals, I am experiencing abdominal dropsy. It is very uncomfortable."
"3","230.0","family history of hereditary rickets","Rickets is the softening and weakening of bones in children that is usually because of an extreme and prolonged vitamin D deficiency","Family History","2","genetic heritage of hereditary rickets","I have a genetic heritage of hereditary rickets, and I believe it's important for you to be aware of this aspect of my medical history."
"1","581","hyperpigmented skin lesion","Dark patches of skin","Symptom","2","brown patch on skin","I have been noticing recently that I have random dark patches on my skin."
"3","2772.0","family history of kidney disease","Polycystic kidney disease is a disease in which clusters of cysts develop primarily within your kidneys, causing them to enlarge and lose function over time","Family History","3","family history of polycystic kidney disease","My family has a history of a condition that affects the kidneys. It causes cysts to form on them and can cause problems in other organs."
"1","2189","swelling in tongue with inflammation","Tongue inflammation","Symptom","2","bulge in tongue","The back part of my tongue has a large bulge that is noticeable just by looking at it. It also hurts when I touch it."
"3","2082.0","esophageal cancer","Esophagus is known as food pipe","Disease / Medical Condition","2","cancer of the gullet","Doctor I am having cancer of the gullet"
"1","79","hoarseness","Loss of voice","Symptom","2","inability to talk","My inability to talk often feels very short"
"1","1976","thick skin at neck","","Symptom","2","thicker dermis on the neck","I've observed a noticeable change in the skin on my neck, with an increase in thickness of the dermis. This change is quite distinct and is causing me some concern."
"1","283","onychoschizia","Nails break easily","Symptom","3","brittle nails","My finger nails are broken un evenly and causing lot of disturbance while working. May be I am suffering from brittle nails."
"1","633","dysgeusia","Impaired taste","Symptom","2","inability to taste","Whenever im eating i tend to have the inability to taste."
"3","2463.0","nail biting","Usually biting the nails or the skin surrounding them","Risk factor","1","nail biting","I'm unable to stop my nail biting habit."
"3","2473.0","polycystic kidney disease","Polycystic kidney disease is an inherited disorder in which clusters of cysts develop within your kidneys","Disease / Medical Condition","2","pkd","I have been previously diagnosed with Polycystic Kidney Disease (PKD). It is a condition that causes cysts to grow on the kidneys, and can affect both genders."
"3","3257.0","constipation","Often have constipation (when pooping becomes less frequent and poop becomes difficult to pass)","Symptom","2","prolonged constipation","I think I have prolonged constipation."
"3","6126.0","family history of kidney disease","Having a family history of kidney disease","Family History","2","kidney disease runs in the family","That kidney disease runs in the family."
"3","4548.0","cracking sound at joints","Popping or cracking sounds are heard coming from the elbow, either by touching it or moving it","Symptom","2","clicking sound in the elbow","I have been experiencing a clicking sound in my elbow, which I believe is affecting my joint movement."
"3","1015.0","family history of psoriasis","Psoriasis is a skin condition that causes flaky patches of skin which form scales","Family History","2","psoriasis has been seen in multiple family members","""Psoriasis runs in my family, and multiple family members have been affected by it."" ✅"
"3","2509.0","use of proton-pump inhibitors","Proton pump inhibitors are medicines that work by reducing the amount of stomach acid","Medication","2","under proton-pump inhibitors","I am currently taking proton-pump inhibitors (PPIs) for my condition. I believe this is an important factor to consider in my treatment plan."
"3","3394.0","contact with animals like dogs, goats, cows, horses, and pigs","Recent contact/exposure to animals","Risk factor","2","playing with animals","I have been playing with animals."
"1","1245","lower leg swelling","Swelling in lower leg","Symptom","2","swelling in the area below the knee and above the ankle","i have swelling in area below the knee, but above the ankle"
"3","3579.0","hot, humid environments","Exposure to a hot and humid environment that makes you sweat","Risk factor","3","hot, humid environments","""I have experienced factors related to specific environmental conditions that might be relevant to my health history."""
"1","1602","parotid gland swelling","","Symptom","2","lump in parotid gland","I was feeling around and noticed a lump in parotid gland."
"3","2727.0","use of intrauterine device","Intrauterine device is a small, often T-shaped birth control device inserted into the uterus to prevent pregnancy","Risk factor","3","use of intrauterine device","I have been using a device to prevent pregnancy."
"1","2026","skin dimpling of breast","Uneven skin of breast","Symptom","2","irregular skin surface of the breast","My breast has an irregular skin surface."
"3","3843.0","cavus foot","Foot with a very high arch","Disease / Medical Condition","2","high arch foot","My feet don't lie flat in my shows and when I walk in sand all you see is the heel and toes impression. Do you think I have a high arch foot?"
"3","5603.0","helicobacter pylori infection","Helicobacter pylori is a type of bacteria that can enter your body and live in your digestive tract, in other words Stomach bacteria","Disease / Medical Condition","2","h. pylori infection","I have been diagnosed with h. pylori infection, also known as stomach bacteria."
"3","5321.0","travel from or to an endemic area of dengue fever","Dengue fever is an illness spread by the bite of mosquitos infected with one of the dengue viruses","Risk factor","2","dengue-like illness","""I recently experienced a dengue-like illness, and I think it's important for you to be aware of this risk factor in my medical history."""
"3","284.0","history of gastrointestinal bleeding","Vomiting blood or noticing blood in poop","Symptom","2","dealing with gastrointestinal bleeding before","Previously, my doctor has in my medical that that I have been dealing with gastrointestinal bleeding before."
"1","774","fingers clubbing","Enlargement of the fingertips and downward sloping of nails","Symptom","3","fingers clubbing","I've noticed that my fingertips have become rounded and the angle of my nails seems to have changed, curving more downwards. This change in the shape of my fingers is something that has caught my attention."
"1","675","mass over lacrimal sac area","Bump near the inside corner of the eye","Symptom","1","mass over lacrimal sac area","I have a feeling that there is a mass over lacrimal sac area."
"3","3213.0","use of calcium channel blockers","Calcium channel blockers are medications that relax blood vessels and increase the supply of blood and oxygen to the heart","Medication","3","use of calcium channel blockers","I have been taking that type of medicines that  relax blood vessels and increase the supply of blood and oxygen to the heart."
"3","2911.0","use of cephalosporin","Cephalosporin is an antibiotic that fights bacteria in your body","Medication","2","use of cefepime","Doctor, I want you to know that I have been using cefepime. It's a medication I've been prescribed, and I thought it was important to mention it to you in case it has any relevance to my current health or any potential interactions with other medications or treatments."
"3","1421.0","recent genital injury or trauma at the vaginal opening","Recently suffering from an injury near or at the vaginal opening","Risk factor","2","recently dealt with injury and trauma at the vaginal opening","I have recently had an injury to my vaginal opening."
"1","867","dysphagia","Object stuck in throat","Symptom","2","lump sensation in throat","When I swallow I feel a lump sensation in throat"
"1","547","hot or burning sensation in upper extremity","A burning feeling in arms","Symptom","2","warm feeling in arms","My arms have a burning feeling."
"3","3612.0","use of sulfonamide","Sulfonamide is used to treat bacterial infections","Medication","2","sulfonamide administration","I've had sulfonamide administration in the past, and I wanted to inform you about this aspect of my medical history."
"3","2224.0","chronic throat clearing","Excessively clearing the throat either forcefully or by unintentionally coughing","Symptom","2","making sound from throat","""I've been frequently clearing my throat."""
"3","4023.0","family history of gastric cancer","Family history of stomach cancer","Family History","2","inherited predisposition to gastric cancer","I have inherited predisposition to gastric cancer"
"1","2063","ulcer in lower leg or ankles","Open wound in lower leg or ankles","Symptom","2","open lesions on lower leg","Doctor, I have open lesions on my lower leg, or in other words, open wounds around my ankles that are causing pain and discomfort."
"3","4469.0","preeclampsia","Preeclampsia is a pregnancy complication that causes high blood pressure and damage to other organs such as liver and kidneys","Disease / Medical Condition","2","toxemia of pregnancy","does i hae toemia of because of pregnancy"
"1","2051","sneezing","Sternutation","Symptom","1","sneezing","Sometimes I get this annoying tickle in my nose and uncontrollable sneezing. My eyes get watery and my chest hurts from the sneezing after a while."
"3","5125.0","use of propylthiouracil","Propylthiouracil is a medication used to treat hyperthyroidism where the thyroid gland makes too much thyroid hormone","Medication","2","propylthiouracil administration","Last year I was diagnosed with hyperthyroidism and I've started with the propylthiouracil administration, taking it 3 times per day in the last 6 months."
"3","481.0","history of low birth weight","Delivering an underweight baby who has a weight less than 2500 grams","Disease / Medical Condition","2","low birth weight is part of the medical background","From my previous diagnosis, low birth weight is part of the medical background"
"3","3237.0","use of calcium channel blockers","Calcium channel blockers are medications that relax blood vessels and increase the supply of blood and oxygen to the heart","Medication","2","use of nimodipine","I'd like to inform you that I have been using nimodipine as part of my medical history. I believe it's important to bring this to your attention as it could be relevant to our current discussion and my overall health management. If you need any further details or have any questions regarding this, please feel free to ask."
"3","3848.0","cavus foot","Foot with a very high arch","Disease / Medical Condition","2","hollow foot","I HAVE A HOLLOW FOOT"
"3","750.0","history of endometriosis","Endometriosis is a condition where tissue similar to the lining of the womb grows in other places, such as the ovaries and fallopian tubes","Disease / Medical Condition","2","a past record of endometriosis","I have a past record of endometriosis"
"3","500.0","in-utero exposure to diethylstilbestrol","Mother taking Diethylstilbestrol (an estrogen medication) while she was pregnant with you","Medication","2","exposure to stilbestrol in the womb","I was exposed to stilbestrol in the womb."
"3","2147.0","joint swelling","Enlarged shoulder","Symptom","2","puffy shoulder","""I have a puffy shoulder, commonly known as an enlarged shoulder."""
"3","4176.0","recent trauma or injury in lower extremity","Lower body includes your leg, ankle, or foot","Risk factor","2","having trauma or injury in lower extremity recently","I have had a trauma or injury in lower extremity recently."
"3","5144.0","family history of lymphoma","Lymphoma is cancer that starts in cells that are part of the body's immune system","Family History","2","mother had lymphoma","I have been previously diagnosed with fibroids"
"3","6015.0","exclusively breastfed","Exclusively feeding your child with breast milk only","Risk factor","2","solely breastfed","""I've been exclusively breastfeeding my child without any supplementary feeding. I thought it's important for you to be aware of this as a relevant factor in my child's pediatric care."" ✅"
"3","5809.0","contact with sick person of tinea capitis","Tinea capitis is a fungal infection of the scalp","Risk factor","2","contact with a person infected with tinea trichophytina","I have had contact with someone who is infected with tinea trichophytina."
"3","5645.0","use of birth control pills","Taking birth control pills","Medication","2","use of oral birth control","Doctor, I've been using oral birth control. I thought it was important for you to be aware of this as part of my medical history."
"1","2178","vulvovaginal pain","Pain at vagina or vulva","Symptom","2","discomfort at vulva","I am experiencing discomfort at the vulva, which includes pain and irritation in the vaginal area. It's causing me discomfort and affecting my daily activities, and I would like to discuss this symptom with you to understand the underlying cause."
"3","5296.0","family history of ovarian cancer","The ovary is an organ in the reproductive system of females that produces and stores eggs","Family History","2","genetic heritage of ovarian cancer","I have a genetic heritage of ovarian cancer that is important to consider for my health and wellbeing. This is specific to female gender(s)."
"1","2064","ulcer in lower leg or ankles","Open wound in lower leg or ankles","Symptom","2","open lesions on ankle","The skin is broken and raw, and the area is painful and inflamed. It started as a small sore, but it has gradually worsened"
"1","66","stress","","Symptom","2","lots of concerns","I'm experiencing lots of concerns.  Between work and family, I worry a lot."
"3","3434.0","blepharitis","Blepharitis is the inflammation of the eyelids","Disease / Medical Condition","2","eyelid irritation","I am experiencing eyelid irritation, which is also known as inflammation of the eyelids."
"3","2958.0","family history of secondary dysmenorrhea","Secondary dysmenorrhoea is period pain that is caused by another health condition","Family History","2","secondary dysmenorrhea is prevalent in family","I have a family history of secondary dysmenorrhea, which is a type of pain during menstruation."
"3","5595.0","gastrectomy","Surgical removal of part or all of the stomach","Procedure / Surgery","1","gastrectomy","I've had a gastrectomy, which is the surgical removal of part or all of my stomach, and I wanted to inform you about it as it's an important part of my medical history."
"3","2669.0","family history of recurrent otitis media","Otitis media is an inflammation of the middle ear","Family History","2","ancestral background of recurrent otitis media","I have a family history of recurrent otitis media in my ancestral background."
"3","1974.0","history of hemophilia","Hemophilia is a rare condition that affects the blood's ability to clot","Disease / Medical Condition","2","a past diagnosis of hemophilia","I have a past diagnosis of hemophilia."
"1","607","dry skin at upper extremity","Dry skin on arms or hands","Symptom","1","dry skin at upper extremity","I've been noticing dry skin on my upper extremities. It feels rough and itchy, especially on my arms and hands."
"3","3953.0","family history of migraine","Migraine is a type of headache that affects one side of the head and happens often","Family History","2","migraine is common in the family lineage","I have a family history of migraines."
"1","519","hirsutism","Excessive growth of dark or coarse hair","Symptom","2","too much dark hair","I am noticing an excessive growth of dark hair in places I never had it before."
"3","4107.0","traumatic vehicle accident","Car accident","Risk factor","2","car crash","I was in a car crash."
"3","3008.0","recent injury or trauma in upper extremity","Recently hit or injured your arms","Risk factor","2","experienced injury and trauma in upper extremity recently","I've recently experienced injury and trauma in my upper extremities, specifically my arms, and I wanted to bring this to your attention as it may be relevant to my current health condition."
"3","5257.0","travel from or to an endemic area of rubella","Rubella is a contagious viral infection best known by its distinctive red rash","Risk factor","2","viral exanthema","""I want you to know that I have a risk factor for viral exanthema, and it's important for you to consider this in my medical care."""
"3","4755.0","family history of eosinophilic esophagitis","Eosinophilic esophagitis is an allergic condition that happens in the esophagus","Family History","2","eosinophilic esophagitis is present among relatives","""I want you to know that eosinophilic esophagitis is present among my relatives."""
"3","700.0","history of nasal foreign body insertion","Putting something in the nose","Risk factor","2","nasal foreign body insertion is part of the medical background","I would like you to know that there is a history of nasal foreign body insertion in my medical background, and I consider it a potential risk factor that you should be aware of."
"3","5253.0","travel from or to an endemic area of rubella","Rubella is a contagious viral infection best known by its distinctive red rash","Risk factor","2","german measles","""I have a history of exposure to German measles, and I want you to be aware of this risk factor."""
"1","411","dark urine","","Symptom","2","tea-colored urine","Lately, I've noticed that my urine has taken on a tea-colored appearance, which is quite unusual for me."
"3","4953.0","history of ectopic pregnancy","Ectopic pregnancy occurs when a fertilized egg implants and grows outside of the uterus","Disease / Medical Condition","2","a past diagnosis of ectopic pregnancy","I have been previously diagnosed with ectopic pregnancy."
"1","694","electric shock sensation in upper extremity","Buzzing sensation in upper extremity","Symptom","3","electric shock sensation in upper extremity","I've been having this strange sensation in my arm, like a jolt of electricity or a tingling buzz."
"3","1023.0","history of cholesteatoma","Cholesteatoma is an abnormal collection of skin cells deep inside your ear","Disease / Medical Condition","2","a past record of cholesteatoma","I have been previously diagnosed with cholesteatoma."
"1","1744","sleepiness","Prolonged sleeping at night","Symptom","3","prolonged nocturnal sleep time","I've been experiencing an extended duration of sleep during the nighttime hours. It's been lasting much longer than I'm used to, and it's affecting my daily routine."
"1","665","mass at lower extremities","Mass at the hip, thighs, legs or feet","Symptom","2","lump at lower extremities","My lump at lower extremities often feels very short"
"1","814","flatulence","Frequent farting","Symptom","2","passing wind a lot","I've been experiencing frequent farting lately. It's been quite embarrassing as it happens frequently throughout the day, and I can't seem to control it."
"3","4346.0","uncircumcised penis","An uncircumcised penis retains the foreskin, which covers the head of a penis","Personal characteristics","2","foreskin present penis","Doctor, I wanted to let you know that I have an uncircumcised or foreskin-present penis."
"3","1766.0","history of deep vein thrombosis","Deep vein thrombosis is the blockage of normal blood flow due to blood clot formation","Disease / Medical Condition","2","having deep vein thrombosis in the past","I have been diagnosed with deep vein thrombosis in the past."
"3","3893.0","late first pregnancy 35 years of age or more","The first pregnancy occurred at the age of 35 years or older","Reproductive/sexual status","3","late first pregnancy 35 years of age or more","I experienced my first pregnancy when I was 35 years old or older."
"3","4414.0","symptoms occurred intrapartum","Symptoms specifically occurred while delivering a child","Timeline of symptoms","2","symptoms during childbirth","I have symptoms during childbirth"
"1","544","diplopia","Double vision","Symptom","2","dual vision","I’m experiencing dual vision since this afternoon. Even when I try to rub my eyes or blink it away, the double vision returns."
"1","2253","xerostomia","Dry mouth","Symptom","1","xerostomia","I have a dry mouth, it sounds like its xerostomia"
"1","121","bradykinesia","Slowness of movement","Symptom","3","bradykinesia","I am feeling stiffness and pain this is causing me to move slower than normal and painful when i move around."
"3","357.0","history of thrombocytopenia","Thrombocytopenia is a condition that occurs when the platelet count in your blood is too low","Disease / Medical Condition","1","history of thrombocytopenia","""I have a history of thrombocytopenia."""
"1","2135","wheezing","Noise while breathing","Symptom","2","harsh respiratory noise","I've been noticing a harsh respiratory noise while breathing, it's like a loud, raspy sound with each breath."
"3","1814.0","family history of acute angle closure glaucoma","Acute angle closure glaucoma is a serious eye condition that occurs when the fluid pressure inside your eye rises quickly","Family History","1","family history of acute angle closure glaucoma","I have. a family history of acute angle closure glaucoma."
"3","3115.0","recent medical urethral instrumentation","Recently have any procedure in which a thin tube was passed through your urethra, the hole in your penis that you pee from","Procedure / Surgery","2","recent urethral manipulation","Recently, I have had an urethral manipulation.I have undergone an urethral manipulation procedure."
"3","4556.0","family history of arrhythmia","Arrhythmia is any problem with the rate or the rhythm of heartbeat","Family History","2","arrhythmia is prevalent in family","There is arrhythmia known within my family medical history."
"3","3485.0","use of antidepressants","Antidepressants are a class of medication used to treat depression, some anxiety disorders, some chronic pain conditions, and to help manage some addictions","Medication","2","use of cymbalta","I have past history of use of cymbalta."
"1","59","change in eating habits","Poor appetite","Symptom","2","reduced desire to eat","I'm just not hungry. I try to eat in the morning, but I get so busy during the day and evenings that I just forget to eat."
"3","811.0","family history of tremors","Tremors are randomly unintended shaking of your body as whole or only arms and legs","Family History","1","family history of tremors","I have a family history of tremors ."
"3","1165.0","travel from or to an endemic area of acute bacterial gastroenteritis","Acute bacterial gastroenteritis is a digestive problem caused by bacteria","Risk factor","2","lived in an area where acute stomach flu is common","Something you should know is I have lived in an area where acute stomach flu is common."
"3","3259.0","constipation","Often have constipation (when pooping becomes less frequent and poop becomes difficult to pass)","Symptom","2","chronic stool infrequency","""I've been experiencing chronic stool infrequency."" ✅"
"3","5015.0","family history of neurofibromatosis type 2","Neurofibromatosis is a condition characterized by the growth of non-cancerous tumors in the nervous system","Family History","2","ancestral background of neurofibromatosis type 2","I have an ancestral background of neurofibromatosis type 2, just wanted to let you know."
"3","372.0","history of thrombocytopenia","Thrombocytopenia is a condition that occurs when the platelet count in your blood is too low","Disease / Medical Condition","2","history of platelet shortage","I have a history of platelets shortage."
"3","1344.0","joint swelling","Enlarged elbow","Symptom","1","elbow swelling","I noticed I have elbow swelling"
"3","367.0","history of thrombocytopenia","Thrombocytopenia is a condition that occurs when the platelet count in your blood is too low","Disease / Medical Condition","2","thrombocytopenia in the medical records","I am facing thrombocytopenia in the medical records."
"3","2342.0","recent surgery","Vascular surgery can be any surgery that includes arteries, veins and lymphatic vessels","Procedure / Surgery","2","history of arteries surgery","i have been history of arteries surgery"
"1","1702","mass at lower extremities","Back of the knee","Symptom","2","swelling in the popliteal fossa","Hi doc, from last couple of the days I feel pain at the back of my knee and I am not able to walk properly because of this. And I think there's a little swelling as well. Please check doctor."
"3","423.0","anemia","Pernicious anemia is when the body cannot absorb enough vitamin B12 in the small intestine, causing a drop in red blood cells","Disease / Medical Condition","2","pernicious anemia is part of the medical background","I have a history of pernicious anemia, which is when my body is unable to absorb enough vitamin B12 in the small intestine, leading to a drop in red blood cells. This is a part of my medical background."
"3","304.0","history of tips","Transjugular Intrahepatic Portal-Systemic Shunt is a procedure to create a tract within the liver to connect the veins","Procedure / Surgery","2","tips in the medical records","i am suffering from tips in the medical records since last night."
"3","35.0","joint swelling","Ankle joint becoming larger or rounder in size","Symptom","2","puffy ankle joint","I wanted to let you know that I have been experiencing a puffy ankle joint."
"3","3787.0","history of cardiac surgery","Having artificial heart valve; a valve implanted into a person's heart to replace a heart valve that is not functioning properly","Risk factor","2","heart valve implants","I have heart valve implants which are also known as artificial heart valves. This issue is relevant to both genders."
"3","1862.0","marfan syndrome","Marfan syndrome is a disorder that affects the fibers that support your organs","Disease / Medical Condition","1","marfan syndrome","I have marfan syndrome."
"3","4206.0","family history of testicular torsion","Testicular torsion is when your testicles end up twisted","Family History","2","grandpa had testicular torsion","As a male, I know I have a medical history of testicular tortion from my grandfather."
"1","1502","onychomycosis","Nail fungus infection","Symptom","2","nail ringworm","I've got this annoying ringworm on my nail, and it's really bothering me."
"1","9","abdominal pain","","Symptom","2","stomach hurt","My stomach hurts quite often, and I can't figure out why."
"3","4596.0","recent injury or trauma in thigh","Thighs were recently hit or injured","Risk factor","2","recently dealt with injury or trauma in thigh","I have recently dealt with an injury or trauma in my thigh that has caused some pain and discomfort."
"1","330","child with difficulty in reading or following","","Symptom","2","child with a difficulty with reading comprehension","My child is not able to understand what they are reading."
"1","1245","lower leg swelling","Swelling in lower leg","Symptom","2","swelling in the area below the knee and above the ankle","I have swelling in my leg, above my ankle and below my knee."
"1","632","koilonychia","Spoon shaped nails","Symptom","2","nails without convexity","My nailbeds look weird, it's like they are spoon shaped and hold water whenever I wash my hands."
"3","2999.0","use of nonsteroidal anti-inflammatory drug","Aspirin is a common drug for relieving minor aches and fever People also use it as a blood thinner","Medication","2","use of disprin","I have been taking Disprin for a while now, as prescribed by my doctor previously."
"3","4272.0","antiepileptic drugs","Antiepileptic drugs are drugs used for individuals who have epilepsy","Medication","2","lamotrigine","I suffer from lamotrigine, just to make that clear"
"1","97","transient visual disturbances","","Symptom","1","blurred vision","When I was driving yesterday, I got really scared because my vision became blurred."
"3","4103.0","family history of vitiligo","Vitiligo is a disease that causes loss of skin color in patches","Family History","2","family history of melanin deficiency disorder","Melanin deficiency disorder runs in my family."
"1","1471","obstructive sleep apnea","Breathing stops involuntarily during sleep","Symptom","2","obstruction of the upper airway during sleep","My partner noticed that when I sleep I sometimes stop breathing, and then I wake up gasping for air."
"3","4220.0","eating spicy food","Spicy food is frequently consumed","Risk factor","1","eating spicy food","I have been eating spicy food"
"1","846","genital ulcer","Genital sore","Symptom","2","open wounds at vagina","I am experiencing open wounds in the vaginal area is concerning and uncomfortable, as it can lead to pain and irritation during daily activities."
"1","749","oral ulcers","Mouth ulcers","Symptom","1","oral ulcers","I think there might be an ulcer in my mouth because I am experiencing a lot of pain in this are and the dentist advised me to come to see the doctor."
"1","2057","sneezing","Sternutation","Symptom","2","involuntary expulsion of air from mouth","I had a involuntary expulsion of air from mouth"
"3","6045.0","valvular heart disease","Valvular heart disease is a damage or malfunction of valves of the heart disrupting the normal flow of blood throughout the body","Disease / Medical Condition","1","valvular heart disease","I have been previously diagnosed with valvular heart disease"
"3","5423.0","travel from or to an endemic area of measles","Measles is a highly contagious infectious disease caused by the measles virus, which causes a red, blotchy rash","Risk factor","1","travel from or to an endemic area of measles","I’m going on vacation to a country where measles is prevalent."
"3","439.0","history of vasculitis","Vasculitis is an inflammation of the blood vessels","Disease / Medical Condition","2","dealing with vasculitis before","Experienced in dealing with vasculitis before."
"3","1247.0","infrequent diaper change","A child wearing their diaper for more than 3 hours without changing it or cleaning the diaper area properly","Risk factor","2","irregular diaper change","""I've been experiencing irregular diaper changes."""
"3","6111.0","family history of gout","Gout is the inflammation of the joints caused by excess uric acid in the blood","Family History","2","gout is common in the family lineage","There is gout in my family lineage."
"3","2569.0","family history of endometrial cancer","Endometrial relates to the lining of the uterus or womb","Family History","2","endometrial cancer is a familial trait","i have been endometrial cancer is a familial trait"
